objectid,cdmid,collectionid,compound_range,compound,cpdmaster,title,othertitle,creator,contributor,date,description,subject,location,time_period,abstract,publisher,serialtitle,agencycurrent,rights,physicalcharacteristics,source,identifier,type,physicalformat,language,digitalcharacteristics,digitalcollection,format,titlereplaces,titlereplacedby,audience,metadatacreator,presfilename,preslocalfilepath,fulltext,capturetools,oclcnumber
coll033,1945,p16062coll45,,1945; 1946; 1947; 1948; 1951; 1952; 1959,1959,New Homemakers of America: Activities--Photographs,,North Carolina. Department of Public Instruction.,,,"Photographs of activities of New Homemakers of America. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",Future Homemakers of America; Home economics; Home demonstration work; New Homemakers of America; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,"North Carolina, United States",(1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,18 images,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,Future Homemakers of America: Box 10,Image,Photographs;,English,,Future Homemakers Associations,image/jpeg,,,All,"Carlisle, Olivia",SR_DPI_DVE_FHA_B10F2_NHA_Activities_Photos,,,Zeutschel Book Scanner,
coll034,1232,p15012coll8,1232; 1236,,1236,"Letter: Sarepta Revis to Daniel W. Revis, June 7, 1863",,"Revis, Sarepta.",,1863-06-07,"Daniel W. Revis and his wife Sarepta were farmers in Henderson County. They wrote letters to each other during the Civil War while Daniel served in Co. B, 64th Regt., Infantry, North Carolina Troops. Sarepta did not know how to read or write but had family members help her compose letters to send to her husband while he was away. Her letters give a glimpse into her life as she lets him know how their family and farm are faring. In this letter, Sarepta gives Daniel a detailed account of a failed attempt by the Henderson County militia to round up Confederate deserters who were trying to return home. She lists who was killed and injured. There are more deserters than militia in Henderson County.  She wishes she could see Daniel again, and tells him she has moved in with her father.","United States--History--Civil War, 1861-1865; United States--History--Civil War, 1861-1865--Health aspects; United States--History--Civil War, 1861-1865--Correspondence; United States--History--Civil War, 1861-1865--Desertions; Henderson County (N.C.); Women--North Carolina--Social conditions; Confederate States of America--Social conditions; North Carolina--History--Civil War, 1861-1865--Sources;","Henderson County, North Carolina, United States",(1860-1876) Civil War and Reconstruction,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,Manuscript letter; 2 pages,Daniel W. Revis Letters. Private Collections. State Archives of North Carolina,PC.1914,Image; Text,Letters (correspondence);,English,,Civil War Collection,image/jpeg,,,All,"Dasher, Kenneth",PC1914_0042; PC1914_0043; PC1914_0044; PC1914_0045,\repository\arc\Civil_War_Letters\PC1914\PC1914_0023,[PC1914_0042 Sarepta Revis to Daniel Revis]     NC Henderson County June the 7 1863     My Dear loveing Husband   I am bless with the presant   time to drop you afew lines   to inform you that I am   well at this time and I   do hope and trust that   theas few lines may finde   you enjoying the same like   blessing  I receive your letter   yes terday with plesure   I was so glad to hear from   you but I am sorry to hear   that you have got so faroff   from me  I have bad news   to rite to you at this time   for the war has commence   hear at last  thear was 15   of Capt Casees men come   home  three Statons  three   Longs  bob Beding field   and sevral others and   out of 15 about <chalk?>.   [page 2]   has gone back  Liutenant   garron come after them   and got about half of them   to goe back  the statons   aint gone back nor tha   never will all go back   Liutenant garron tuck   sevral men with him   and went after ruben   and Ambers Staton   and one of them shot   garron and kill him   he dident live more than   hour and half  then the   men that was with garron   shot at rube and   Ambers and wounded   them but tha never got   them but Ambers wound   kill him  he only live   about one day and night    [page 3]   and rube was wouned in the   shoulders and I dont no   whear he is  I hear that   the men is runing a   way fast hear of late and   the malishey is out a   trying to gether them   up but tha come slowe   speed at it for tha aint   gott but four or   five yet and tha hav   been gone aweek and tha   say that the runaways   sends word to Col   <??t?> ned that tha wil   meet him in any old   field and take afight   with him and his men   but tha aint done it yet   nor I dont beleive tha   will for I thinck tha    are <boull?>; afraid   [page 4]   to come in contack with   each other  thare is   more dezerters than   thare is malishey hear   but some of them has   gone angive up to go back   I am sory to hear that   was in Kentucky   I am afraid I never   will get to see you any   more on earth for I hear   that the yanckeys has   run you all back agood   ways  I aint rote to you   in two weeks for I hear   that you had left clinton   I have move to fathers and   clint and Ellen has move   there too  I want you to rite   to me soon and offen as you   can  so no more but far you                                Sarepta S Revis   Well for this time  to D. W. Revis,Epson Expression 10000XL,
coll035,6619,p16062coll45,,6619; 6620; 6624; 6628; 6639; 6653; 6656; 6693; 6714,6717,"Future Homemakers of America: History--Photographs--People, Executive Council, State Officers",,North Carolina. Department of Public Instruction.,,,"Photographs of people, executive council, and state officers. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",Future Homemakers of America; Home economics; Home demonstration work; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,"North Carolina, United States",(1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,98 pages,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,Future Homemakers of America: Box 1,Image,Photographs,English,,Future Homemakers Associations,image/jpeg,,,All,"Carlisle, Olivia",SR_DPI_DVE_FHA_B1F10_FHA_History_Photos,,,Zeutschel Book Scanner,
coll036,7694,p16062coll45,,7694; 7706; 7712; 7730,7730,"Future Homemakers of America: Publications--Newsletters and Bulletins, 1945, 1951, 1978",,North Carolina. Department of Public Instruction.,,1945; 1951; 1978,"Newsletters and bulletins from 1945, 1951, and 1978. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",Future Homemakers of America; Home economics; Home demonstration work; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,"North Carolina, United States",(1929-1945) Depression and World War Two; (1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,36 pages,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,Future Homemakers of America: Box 9,Image; Text,Newsletters,English,,Future Homemakers Associations,image/jpeg,,,All,"Carlisle, Olivia",SR_DPI_DVE_FHA_B9F5_Newsletters,,,Zeutschel Book Scanner,
coll037,3049,p16062coll45,,3049; 3053; 3065; 3067; 3069; 3071; 3073;,3073,New Homemakers of America: History--Executive Council and State Officers--Photographs,,North Carolina. Department of Public Instruction.,,,"Photographs of executive council and state officers. Future Homemakers of America collection, 1929-1984, includes correspondence, reports, news clippings, lists of officers, audits, programs, budgets, photographs, and other records on the history of Future Homemakers of America, New Homemakers of America, and Home Economics Related Occupations. New Homemakers of America, a club for African Americans, merged with Future Homemakers of America when school segregation ended.",Future Homemakers of America; Home economics; Home demonstration work; North Carolina Future Homemakers of America; Segregation; Women--Vocational guidance,"North Carolina, United States",(1929-1945) Depression and World War Two; (1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,47 images,Division of Vocational Education. Dept. of Public Instruction. State Archives of North Carolina,Future Homemakers of America: Box 9,Image,Photographs,English,,Future Homemakers Associations,image/jpeg,,,All,"Carlisle, Olivia",SR_DPI_DVE_FHA_B9F9_NHA_Executive_Council_Photos,,,Zeutschel Book Scanner,
coll038,1916,p15012coll10,,,,The Girl On The Land Serves The Nation's Need,,"Penfield, Edward, 1866-1925.",,,"Colored WWI poster shows four uniformed young women leading two horses and carrying farm utensils and vegetables. Text says ""Girl on the Land Serves the Nation's Need,"" and urges young women to apply to the YWCA Land Service Committee.","World War, 1914-1918; Young Women’s Christian Association of the U.S.A.; Women; Posters; World War, 1914-1918--War work--Women; Agriculture;",,(1900-1929) North Carolina's industrial revolution and World War One,,"Printed by the United States Printing & Lithograph Co., New York.",,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,Color poster printed on paper. 25 x 30 in.,World War I Papers. Military Collection. State Archives of North Carolina,MilColl.WWI.Posters.4.28.c1 (other copy: MilColl.WWI.Posters.4.28.c2),Image,Posters,English,,North Carolina in World War I,image/jpeg,,,All,"Cusick, Aaron;",MilColl_WWI_Posters_4_28_c1,\repository$\arc_working\Posters\WWI_Posters\JPGs\4_ServRelief\MilColl_WWI_Posters_4_single_sided,,Graphtec CS600 Pro;,
coll039,3545,p15012coll10,,3545; 3546; 3547;,3547,"Women canning produce in Asheville, N.C.",,,,,"The Asheville Community Cannery was one of the activities of the local National League for Woman's Service during World War I. It was built in the fountain in the rear of the Buncombe County Court House. They produced 10,000 cans of vegetables in the summer of 1917 and an undetermined number in 1918. Miss May F. Jones was local League Chairman and Mrs. Thomas Smith local Chairman of the Food Conservation Committee.","World War, 1914-1918; Canning and preserving; World War, 1914-1918--War work--Women; Canneries;","Asheville, Buncombe County, North Carolina, United States;Buncombe County, North Carolina, United States",(1900-1929) North Carolina's industrial revolution and World War One,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,1 photograph,World War I Papers. Military Collection. State Archives of North Carolina,"Military Collection. World War I Papers. Private Collections. Box 18, Elizabeth Earl Jones, American Red Cross Volunteer, and May F. Jones, Y.M.C.A. Worker, Papers",Image,Photographs,English,,North Carolina in World War I,image/jpeg,,,All,"Cusick, Aaron; Milbrodt, Katrina;",MilColl_WWI_PC_Jones_Elizabeth_Earl_Photograph_AshvilleCannery_01,,,,
coll040,8170,p15012coll10,,8082; 8083; 8084; 8168; 8170; 8177; 8178; 8124,8214,Ann Preston Bridgers Papers,,"Bridgers, Ann Preston.",,1919,"Papers of Ann Preston Bridgers relating to her service as YWCA hostess with the American Expeditiionary Forces in France, 1919. Items include correspondence, notes, maps, postcards, and travel documents including Bridgers' passport.","United States. Army. American Expeditionary Forces; World War, 1914-1918; World War, 1914-1918--Women--United States; Young Women's Christian Association",France,(1900-1929) North Carolina's industrial revolution and World War One,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,,Robert R. Bridgers Papers. Private Collections. State Archives of North Carolina,PC.1385.3,Image,Documents; Forms (documents); Letters (correspondence); Maps; Passports; Postcards,English; French,,North Carolina in World War I,image/jpeg,,,All,"Carlisle, Olivia",,,,Zeutschel Omniscan 12,
coll041,550,p16062coll19,,550; 551; 552,552,Grosgrain Ribbon Sash: Vote for Women,,,,,"Grosgrain Ribbon Sash, with the term ""Vote for Women"" printed on both sides. The sash is 4"" wide  X 45"" long.",Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women & politics; Women & the law; Women--History--20th century; Women--Suffrage; States' rights (American politics)--History--20th century;,,(1900-1929) North Carolina's industrial revolution and World War One,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,"4"" X 45"" Grosgrain Ribbon Sash",Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina,PC.1618,Image; Physical object,Artifacts,English,,Women in North Carolina 20th Century History,image/jpeg,,,All,"Mazanek, Tiffanie;",PC_1618_EqualSufferageAmendment19th_1920_Pennants,,,Zeutschel Omniscan 12;,
coll042,566,p16062coll19,565; 573,,573,Political Cartoons: Pro Women’s Suffrage,,,,1920,Political Cartoons promoting Women’s right to vote.,Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women & politics; Women & the law; Women--History--20th century; Women--Suffrage; States' rights (American politics)--History--20th century;,United States,(1900-1929) North Carolina's industrial revolution and World War One,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,8 cartoons,Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina,PC.1618,Image; Text,Drawings (visual works),English,,Women in North Carolina 20th Century History,image/jpeg,,,All,"Mazanek, Tiffanie;",PC_1618_EqualSufferageAmendment19th_1920_ProSuffrageCerculars_Cartoons,,,Zeutschel Omniscan 12;,
coll043,581,p16062coll19,,580; 581; 582,582,"Hand Held Fan: ""I want to speak for myself at the polls""",,"National Woman Suffrage Publishing Company, Inc.",Cambell Art Company.,,"A hand held fan, one side stating ""Keep Cool and Raise A breeze For Suffrage! Votes for Women, Votes For Women"" the Other side has a cartoon drawing with the quote  ""I want to speak for myself at the polls.""",Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women & politics; Women & the law; Women--History--20th century; Women--Suffrage; States' rights (American politics)--History--20th century;,"New York City, New York County, New York, United States",(1900-1929) North Carolina's industrial revolution and World War One,,"National Woman Suffrage Publishing Company, Inc.",,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,Hand fand,Equal Suffrage Amendment Collection. Private Collections. State Archives of North Carolina,PC.1618,Image; Text,Artifacts,English,,Women in North Carolina 20th Century History,image/jpeg,,,All,"Mazanek, Tiffanie;",PC_1618_EqualSufferageAmendment19th_1920_ProSuffrageCerculars_Fan,,,,
coll044,979,p16062coll19,,,,Photograph: Tiny Broadwick shows the backpack parachute,,,,,"Tiny Broadwick wearing her parachute ready for a jump. Tiny was born in Granville County, North Carolina and she was the first woman to make a parachute jump from an airplane.","Brown, Georgia Thompson, 1893-1978; Martin, Glenn L. (Glenn Luther), 1886-1955; Parachuting; Parachuting--Equipment and supplies; Parachuting--Equipment and supplies--History--20th century; Parachuting--History; Skydiving; Skydivers; Skydiving--United States--History; Aircraft industry--United States--History; Stunt flying; Stunt flying--United States--History--20th century;",,(1900-1929) North Carolina's industrial revolution and World War One,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,Photograph,Audio Visual Materials. State Archives of North Carolina,N_61_2_15_Tiny_Broadwick,Image,Photographs,English,,Women in North Carolina 20th Century History,image/jpeg,,,All,"Mazanek, Tiffanie;",N_61_2_15_Tiny_Broadwick,,,,
coll045,771,p16062coll19,,771; 772; 773,773,"Photograph: Tiny Broadwick lands in Griffith Park, Las Angeles Ca.",,,,1913-06-21,"A picture of the first landing Tiny Broadwick made from a airplane, at Griffith Park, June 21, 1913. ""This picture was taken in action shot, and was a stand up landing."" Tiny was born in Granville County, North Carolina and she was the first woman to make a parachute jump from an airplane.","Brown, Georgia Thompson, 1893-1978; Parachuting; Parachuting--Equipment and supplies; Parachuting--Equipment and supplies--History--20th century; Parachuting--History; Skydiving; Skydivers; Skydiving--United States--History; Aircraft industry--United States--History; Stunt flying; Stunt flying--United States--History--20th century","Griffith Park, Los Angeles, California, United States",(1900-1929) North Carolina's industrial revolution and World War One,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,Photograph,Tiny Broadwick Papers. Private Collections. State Archives of North Carolina,PC 1567,Image,Photographs,English,,Women in North Carolina 20th Century History,image/jpeg,,,All,"Mazanek, Tiffanie;",PC_1567_TinyBroadwick_Photos_01,,,,
coll046,620,p16062coll19,,620; 621; 622; 623; 624; 625; 626; 627; 628; 629; 630; 684,684,"The Suffragists' Calendar, a year-book for every thinking woman",,P. F. Vollard & Co.,Dodd. Mead & Company.; Elizabeth Robins.;,1916,"“The Suffragists’ Calendar, “A Year Book for Every Thinking Woman. A timely and interesting compilation from the writings and speeches of prominent suffragists and their advocates of political enfranchisement of woman. Boxed, silk cord and tassel tied. Price 50 cents net.”  This calendar is not year specific but contains an excerpt from writings and speeches for each day starting with January 1st thru December 31st.",Equal Suffrage League of North Carolina; National American Woman Suffrage Association; National American Woman Suffrage Association--History--20th century; National American Woman Suffrage Association. League of Women Voters; Women; Women & politics; Women & the law; Women--History--20th century; Women--Suffrage; States' rights (American politics)--History--20th century;,,(1900-1929) North Carolina's industrial revolution and World War One,,P. F. Vollard & Co.,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.;,65 page calendar,Gertrude Weil Papers. Private Collections. State Archives of North Carolina,PC.1488,Image; Text,Calendars (documents),English,,Women in North Carolina 20th Century History,image/jpeg,,,All,"Mazanek, Tiffanie;",PC_1488_GertrudeWeilPapers_NationalSuffrageAssociation_Calendar,,,,
coll047,48,p16062coll35,,,,"Bennis M. Blue Interview, 2017-11-16 [MilColl OH 1131]",,"Blue, Bennis M.","Peek, Matthew M.",2017-11-16,"Bennis Blue was raised in Raleigh, N.C. Self-identifying as a non-tribe affiliated Native American, she is of Native American and African American descent. Blue was stationed with various U.S. Army units from 1976 to 1996 in the U.S. Women""s Army Corps (WAC), U.S. Army, and U.S. Army Reserves. She was stationed at the following military installations: Fort McClellan, AL, Fort Bragg, N.C.; Fort Lee, Va.; and at a base in Germany. At Fort Bragg in 1978, Blue became the first female minority officer of the 82nd Airborne Division as a First Lieutenant, and one of the first five women to join the 82nd Airborne as the U.S. Army integrated women with men in their units. She would retire from the Army Reserves with the rank of Major. Blue currently resides in Wake County, N.C.","Fort Bragg (N.C.); Fort Lee (Va.); Fort McClellan (Ala.); Military history; Oral histories; Oral history; Personal narratives; Retired military personnel; United States. Army. Airborne Division, 82nd; United States. Army Reserve; United States. Army. Women's Army Corps; Veterans","Fort Bragg, Hoke County, North Carolina, United States; Hoke County, North Carolina, United States; Fort Lee, Prince George County, Virginia, United States; Fort McClellan, Calhoun County, Alabama, United States; Germany; Raleigh, Wake County, North Carolina, United States; Wake County, North Carolina, United States",(1945-1989) Post War/Cold War period; (1990-current) Contemporary,,,,,All rights held by the State Archives of NC. Permission to publish must be obtained from the registrar in writing.,,Military Veterans Oral History Collection. Military Collection. State Archives of North Carolina,MilColl OH 1131,Sound,Oral histories (document genres); Sound recordings,English,231 MB; 2 hours 19 minutes 48 seconds,Veterans Oral History Collection,audio/mp3,,,All,"Peek, Matthew M.; Carlisle, Olivia",,,,,
coll048,1149,p249901coll44,,,,"Elaine de Kooning and Buckminster Fuller’s Venetian Blind Strip Dome, 1948 Summer Session in the Arts, Black Mountain College",,"Guermonprez, Trude, 1910-1976.",,1948,"Elaine de Kooning working on the Venetian Blind Strip Dome (also known as the Supine Dome) which was created as part of Buckminster Fuller’s Architecture Class, 1948 Summer Session in the Arts. Photographer: Trude Guermonprez.","Black Mountain College (Black Mountain, N.C.); Universities and colleges--North Carolina--Black Mountain; Education, Humanistic--North Carolina; College teachers--North Carolina--Black Mountain; Fuller, R. Buckminster (Richard Buckminster), 1895-1983; Architecture--Study and teaching--North Carolina; De Kooning, Elaine; Architecture--North Carolina--Buncombe County; Women artists","Black Mountain, Buncombe County, North Carolina, United States;Buncombe County, North Carolina, United States",(1945-1989) Post War/Cold War period,,,,,Courtesy of Western Regional Archives. Prior permission from the State Archives of NC is required for any commercial use.,1 black and white photograph,Black Mountain College Research Project. North Carolina Museum of Art. Western Regional Archives,"BMC Research Project. Series VII (Visual Materials). Box 87. Folder: Guermonprez, Trude (Elsesser) -  Classes (BM Doc. 54 k – Guermonprez (Elsesser))",Image,Photographs,English,,Black Mountain College,image/jpeg,,,All,"Yandle, Ashley;",BMCRP_VenetianBlindStripDome_GuermonprezTrude,,,,
coll049,1179,p249901coll44,,,,"Ruth Asawa, Black Mountain College student, 1946-1949",,"Black Mountain College (Black Mountain, N.C.); Kalischer, Clemens.",,1946; 1947; 1948; 1949,"Ruth Asawa, Black Mountain College student from 1946-1949, perhaps in an art class. Photographer: Clemens Kalischer.","Black Mountain College (Black Mountain, N.C.); College students--North Carolina--Black Mountain; Universities and colleges--North Carolina--Black Mountain; Schools--North Carolina--Buncombe County; Art--Study and teaching--North Carolina; Asawa, Ruth; Women artists","Black Mountain, Buncombe County, North Carolina, United States;Buncombe County, North Carolina, United States",(1945-1989) Post War/Cold War period,,,,,Courtesy of Clemens Kalischer. Prior permission is required for any commercial use.,1 black and white photograph,Black Mountain College Research Project. North Carolina Museum of Art. Western Regional Archives,BMC Research Project. Series VII (Visual Materials). Box 91. Folder: North Carolina Division of Archives and History - Portraits - Activities,Image,Photographs,English,,Black Mountain College,image/jpeg,,,All,"Yandle, Ashley;",BMCRP_NCDAH_portraitsActivites_AsawaRuth,,,,
coll050,1232,p249901coll44,,,,Anni Albers card weaving at Black Mountain College,,"Black Mountain College (Black Mountain, N.C.)",,,Photograph of Anni Albers card weaving at Black Mountain College. Anni Albers taught Weaving and Textile Design at Black Mountain College from 1933-1949.,"Black Mountain College (Black Mountain, N.C.); Universities and colleges--North Carolina--Black Mountain; Education, Humanistic--North Carolina; Schools--North Carolina--Buncombe County; College teachers--North Carolina--Black Mountain; Albers, Anni; Weaving--North Carolina--Black Mountain; Women artists","Black Mountain, Buncombe County, North Carolina, United States;Buncombe County, North Carolina, United States",(1929-1945) Depression and World War Two,,,,,Courtesy of Western Regional Archives. Prior permission from the State Archives of NC is required for any commercial use.,1 black and white photograph,Black Mountain College Research Project. North Carolina Museum of Art. Western Regional Archives,"BMC Research Project. Series VII (Visual Materials). Box 90. Folder: North Carolina Division of Archives and History - Albers, Anni",Image,Photographs,English,,Black Mountain College,image/jpeg,,,All,"Yandle, Ashley;",BMCRP_NCDAH_albersAnni_cardweaving,,,,
coll051,981,p16062coll34,,981; 1152,1152,"Great Lake - Bird Nest Colonies Birds, Mrs. Bayard Wootten the Photographer",,"Brimley, H. H. (Herbert Hutchinson), 1861-1946.",,1911,"Photographer Bayard Wootten is seen here knee deep in Great Lake located within Croatan National Forest. Wootten was a pioneer in photography and an outspoken suffragette. She was one of the first female aerial photographers when, in 1914, she took photographs from a Wright Brothers Model B airplane. Wootten was adventurous and unflinching in all aspects of her life, especially business. She owned several photography studios and was known to set out on solo trips across the state in her 1920s Ford to photograph North Carolina’s people and landscapes. She continued to photograph well into her 70s and operated her photo studio in Chapel Hill until 1954. This photo is part of a collection taken and overseen by Herbert Hutchinson Brimley (1861-1946) for the Department of Agriculture, the North Carolina Geological Survey and the State Museum.","North Carolina State Museum of Natural History; Photographers--North Carolina; Wildlife photography; Wootten, Bayard Morgan, 1875-1959; Women photographers","Great Lake, Craven County, North Carolina, United States;Craven County, North Carolina, United States",(1900-1929) North Carolina's industrial revolution and World War One,,,,,This item is provided courtesy of the State Archives of North Carolina.,"4"" x 5"" negative",Herbert Hutchinson Brimley Photograph Collection. Audio Visual Materials. State Archives of North Carolina,PhC42_Bx16_Great_Lake_F1_2,Image,Photographs,English,,Brimley Photograph Collection,image/jpeg,,,All,"Dunn, Ian F. G.",,,,Microtek Scanmaker 9800xl,
coll052,1867,p15012coll5,,,,Girl at information booth at Cherokee information center.,,,,1947-06,"Girl at Information Booth, Cherokee Information Center, Cherokee Reservation, Swain Co., June 1947. This photo is part of a collection of photos promoting traveling and tourism in North Carolina, taken by photographers who worked for the Department of Conservation and Development, Division of Travel Information. ",Cherokee Indians; Indians of North America; Cherokee women; Tourism--North Carolina,"Swain County, North Carolina, United States",(1945-1989) Post War/Cold War period,,,,,Copyright is retained by the materials' authors or their descendants as stipulated by US copyright law (Title 17 US Code).,1 black and white photograph,Travel Information Division. Conservation and Development Records. State Archives of North Carolina,ConDev6264C,Image,Negatives (photographic),English,,Travel and Tourism Photos,image/jpeg,,,All,"Welch, Amber",,,,Epson V750 Pro,
coll053,2217,p15012coll5,,,,Woman making pottery.,,"Hemmer, John H., 1892-1981.",,1947-09,"Cherokee Indian Craft, Cherokee Reservation, Sept 1947. Taken by Hemmer. This photo is part of a collection of photos promoting traveling and tourism in North Carolina, taken by photographers who worked for the Department of Conservation and Development, Division of Travel Information. ",Cherokee Indians; Indians of North America; Handicraft; Pottery; Cherokee women; Tourism--North Carolina; Women artists,"Swain County, North Carolina, United States",(1945-1989) Post War/Cold War period,,,,,Copyright is retained by the materials' authors or their descendants as stipulated by US copyright law (Title 17 US Code).,1 black and white photograph,Travel Information Division. Conservation and Development Records. State Archives of North Carolina,ConDev6579B,Image,Negatives (photographic),English,,Travel and Tourism Photos,image/jpeg,,,All,"Welch, Amber",,,,Epson V750 Pro,
coll054,89,p16062coll13,,,,Five Palmer Institute Teachers,,,,1900,"This photograph depicts five Palmer Memorial Institute (PMI) teachers. PMI was established in 1902 by Dr. Charlotte Hawkins Brown at Sedalia, North Carolina near Greensboro. The African American school evolved from an agricultural and manual training facility to a fully accredited, nationally recognized preparatory school. More than 1,000 students graduated during Brown's 50-year presidency. The school closed its doors in the 1970s, but the campus reopened in 1987 as North Carolina's first African American state historic site and a memorial to Dr. Brown.","Palmer Memorial Institute (Sedalia, N.C.)--History; Brown, Charlotte Hawkins, 1883-1961; Teachers; African Americans--History--North Carolina; African Americans--Southern States--History; African American women","Sedalia, Guilford County, North Carolina, United States;Guilford County, North Carolina, United States",(1900-1929) North Carolina's industrial revolution and World War One,,,,,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",Photograph,,,Image,Photographs,English,,African American Education,image/jpeg,,,All,North Carolina Digital Heritage Center; Francesca Perez,chb_photos_teacherportrait,,,,
coll055,81,p16062coll13,,,,"Dr. Brown with Maria, Nat King, and Cookie Cole",,,,1948-03,"Dr. Charlotte Hawkins Brown with Nat King, Maria, and Cookie Cole celebrating a birthday. Maria Cole was the niece of Dr. Brown.","Palmer Memorial Institute (Sedalia, N.C.)--History; Cole, Nat King, 1919-1965; Brown, Charlotte Hawkins, 1883-1961;Cole, Maria, 1922-2012; African American women","Sedalia, Guilford County, North Carolina, United States;Guilford County, North Carolina, United States",(1945-1989) Post War/Cold War period,,,,,"This item is presented courtesy of the Charlotte Hawkins Brown Museum, a Historic Site within the North Carolina Department of Cultural Resources, for research and educational purposes. Prior permission from the Charlotte Hawkins Brown Museum is required for any commercial use.",Photograph,,,Image,Photographs,English,,African American Education,image/jpeg,,,All,North Carolina Digital Heritage Center; Francesca Perez,chb_photos_drbrownandcole,,,,
coll056,6889,p16062coll44,,6889; 6891; 6892; 6893; 6894; 6895; 6896; 6897; 6898; 6899; 7009,7009,Commission Report. Printed copies (2).,,North Carolina. Governor's Commission on the Status of Women.;,"Bireline, George, 1923-2002.;",1964,"The printed Governor's Commission on the Status of Women report titled as """"The Many Lives of North Carolina Women.""""","Women's rights; Employment & social affairs; Equality--United States; North Carolina--History; Sanford, Terry, 1917-1998; Labor laws and legislation; African American women; Indians of North America; Education & culture; Discrimination; Income distribution; Communities; Families--United States--Statistics; Civil rights; Civil rights movements--United States--History--20th century; Volunteers; Volunteer jobs; Voting; Civic participation: working for civil rights; Civic improvement; Political activists--United States; Women political activists; North Carolina Council for Women; North Carolina Council on the Status of Women; North Carolina. Governor's Commission on the Status of Women;","Raleigh, Wake County, North Carolina, United States;Wake County, North Carolina, United States",(1945-1989) Post War/Cold War period,,,,,The SA of NC considers this item in the public domain by U.S. law but responsibility for permissions rests with researchers.,120 pages,Governor's Commission on the Status of Women. Terry Sanford Governor's Papers. State Archives of North Carolina,528.6,Text,Reports,English,,Council on the Status of Women,image/jpeg,,,All,"Rankins, Brittney",SR_Commission_Status_Women_Box6_Folder4,,,Zeutschel Book Scanner,
